,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,Price category,Rental availability,Host type
0,Mitte,52.54433,13.39761,Private room,28.0,60,18,0.21,3,101,Low price,Middle term,Commercial host
1,Mitte,52.53305,13.40394,Entire home/apt,74.0,90,141,2.2,6,357,Low price,Long term,Commercial host
2,Pankow,52.53471,13.4181,Entire home/apt,90.0,62,147,1.14,1,254,Middle price,Long term,Private host
3,Tempelhof - Schöneberg,52.49884,13.3494,Private room,29.0,7,27,0.28,1,285,Low price,Long term,Private host
4,Friedrichshain-Kreuzberg,52.51163,13.45289,Entire home/apt,79.0,7,135,1.02,1,0,Low price,Short term,Private host
5,Pankow,52.54301,13.41534,Private room,33.0,1,293,2.44,1,0,Low price,Short term,Private host
6,Pankow,52.53269,13.41805,Entire home/apt,200.0,6,8,0.17,1,1,Middle price,Short term,Private host
7,Pankow,52.54813,13.40366,Entire home/apt,70.0,90,26,0.26,3,238,Low price,Long term,Commercial host
8,Friedrichshain-Kreuzberg,52.50312,13.43508,Entire home/apt,90.0,60,48,0.41,2,73,Middle price,Short term,Private host
9,Neukölln,52.49419,13.42166,Entire home/apt,49.0,5,287,2.26,1,288,Low price,Long term,Private host
10,Pankow,52.53711,13.40888,Entire home/apt,159.0,3,86,0.9,1,171,Middle price,Middle term,Private host
11,Friedrichshain-Kreuzberg,52.5046,13.43374,Entire home/apt,70.0,60,60,0.57,2,42,Low price,Short term,Private host
12,Mitte,52.53408,13.38871,Entire home/apt,65.0,90,181,1.53,1,198,Low price,Long term,Private host
13,Mitte,52.53355,13.40476,Entire home/apt,144.0,2,309,2.86,1,243,Middle price,Long term,Private host
14,Friedrichshain-Kreuzberg,52.49134,13.37975,Entire home/apt,65.0,185,99,0.92,1,0,Low price,Short term,Private host
15,Pankow,52.52931,13.41999,Entire home/apt,100.0,5,21,0.2,1,64,Middle price,Short term,Private host
16,Pankow,52.54419,13.41956,Entire home/apt,199.0,60,188,1.88,2,365,Middle price,Long term,Private host
17,Pankow,52.54804,13.40349,Entire home/apt,80.0,90,33,0.35,3,168,Middle price,Middle term,Commercial host
18,Pankow,52.54367,13.42431,Entire home/apt,80.0,60,77,0.74,3,184,Middle price,Long term,Commercial host
19,Pankow,52.54596,13.42291,Entire home/apt,118.0,4,304,3.02,4,327,Middle price,Long term,Commercial host
20,Mitte,52.52195,13.3559,Entire home/apt,62.0,3,213,2.13,1,0,Low price,Short term,Private host
21,Mitte,52.5349,13.39857,Private room,75.0,2,20,0.77,1,285,Low price,Long term,Private host
22,Charlottenburg-Wilm.,52.51849,13.30257,Private room,35.0,1,48,0.95,2,365,Low price,Long term,Private host
23,Tempelhof - Schöneberg,52.49376,13.36408,Private room,37.0,10,25,0.24,1,344,Low price,Long term,Private host
24,Mitte,52.50906,13.39374,Entire home/apt,19.0,5,8,0.16,1,0,Low price,Short term,Private host
25,Friedrichshain-Kreuzberg,52.4987,13.44041,Private room,40.0,2,203,2.26,2,10,Low price,Short term,Private host
26,Pankow,52.53713,13.42473,Entire home/apt,90.0,84,106,0.86,10,12,Middle price,Short term,Commercial host
27,Friedrichshain-Kreuzberg,52.48968,13.41993,Private room,53.0,3,50,0.5,2,0,Low price,Short term,Private host
28,Pankow,52.5378,13.41287,Private room,43.0,15,70,0.56,1,0,Low price,Short term,Private host
29,Pankow,52.53163,13.42152,Private room,49.0,1,1,0.01,1,0,Low price,Short term,Private host
30,Friedrichshain-Kreuzberg,52.49653,13.44128,Private room,37.0,2,40,0.5,2,285,Low price,Long term,Private host
31,Friedrichshain-Kreuzberg,52.51099,13.45642,Entire home/apt,119.0,4,163,1.86,1,293,Middle price,Long term,Private host
32,Treptow - Köpenick,52.48938,13.44141,Private room,50.0,2,20,0.32,1,211,Low price,Long term,Private host
33,Friedrichshain-Kreuzberg,52.50943,13.45458,Private room,56.0,82,105,1.17,1,270,Low price,Long term,Private host
34,Pankow,52.53197,13.41994,Entire home/apt,169.0,5,40,0.35,1,0,Middle price,Short term,Private host
35,Mitte,52.52264,13.3881,Private room,45.0,4,192,1.52,1,0,Low price,Short term,Private host
36,Charlottenburg-Wilm.,52.50469,13.29409,Entire home/apt,58.0,60,15,0.18,1,255,Low price,Long term,Private host
37,Pankow,52.54758,13.40632,Entire home/apt,230.0,3,93,0.85,3,230,Middle price,Long term,Commercial host
38,Pankow,52.53572,13.42739,Entire home/apt,150.0,5,45,0.46,2,207,Middle price,Long term,Private host
39,Friedrichshain-Kreuzberg,52.49612,13.42306,Entire home/apt,85.0,5,21,0.17,1,353,Middle price,Long term,Private host
40,Mitte,52.54059,13.40301,Entire home/apt,154.0,2,11,0.1,1,293,Middle price,Long term,Private host
41,Pankow,52.54792,13.40465,Private room,60.0,2,57,0.48,2,140,Low price,Middle term,Private host
42,Neukölln,52.49337,13.42555,Entire home/apt,111.0,3,45,0.63,1,2,Middle price,Short term,Private host
43,Friedrichshain-Kreuzberg,52.52612,13.45243,Private room,30.0,8,74,0.71,1,55,Low price,Short term,Private host
44,Pankow,52.55004,13.41518,Entire home/apt,62.0,3,304,2.47,10,355,Low price,Long term,Commercial host
45,Charlottenburg-Wilm.,52.5078,13.31867,Entire home/apt,83.0,3,61,0.68,1,288,Middle price,Long term,Private host
46,Charlottenburg-Wilm.,52.48074,13.28903,Entire home/apt,49.0,2,124,1.02,1,0,Low price,Short term,Private host
47,Mitte,52.52142,13.38983,Entire home/apt,145.0,4,43,0.43,1,299,Middle price,Long term,Private host
48,Pankow,52.55064,13.41466,Entire home/apt,66.0,3,314,2.7,1,182,Low price,Long term,Private host
49,Pankow,52.54677,13.41894,Entire home/apt,166.0,1,311,2.66,2,307,Middle price,Long term,Private host
50,Mitte,52.53036,13.38137,Entire home/apt,79.0,3,95,1.27,2,237,Low price,Long term,Private host
51,Mitte,52.55279,13.37346,Entire home/apt,90.0,60,67,0.78,1,193,Middle price,Long term,Private host
52,Pankow,52.54715,13.42657,Entire home/apt,103.0,3,134,1.31,4,306,Middle price,Long term,Commercial host
53,Friedrichshain-Kreuzberg,52.49513,13.37593,Private room,49.0,3,225,2.11,2,220,Low price,Long term,Private host
54,Pankow,52.54048,13.41087,Entire home/apt,130.0,4,61,0.57,4,164,Middle price,Middle term,Commercial host
55,Neukölln,52.4905,13.42579,Entire home/apt,60.0,2,44,0.4,1,302,Low price,Long term,Private host
56,Friedrichshain-Kreuzberg,52.48924,13.42371,Entire home/apt,521.0,3,112,1.03,2,0,High price,Short term,Private host
57,Pankow,52.5401,13.4098,Private room,45.0,4,11,0.5,1,357,Low price,Long term,Private host
