,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,clusters,cluster
0,28.0,60,18,0.21,3,101,0,pink
1,74.0,90,141,2.2,6,357,1,purple
2,90.0,62,147,1.14,1,254,1,purple
3,29.0,7,27,0.28,1,285,1,purple
4,79.0,7,135,1.02,1,0,0,pink
5,33.0,1,293,2.44,1,0,0,pink
6,200.0,6,8,0.17,1,1,0,pink
7,70.0,90,26,0.26,3,238,1,purple
8,90.0,60,48,0.41,2,73,0,pink
9,49.0,5,287,2.26,1,288,1,purple
10,159.0,3,86,0.9,1,171,1,purple
11,70.0,60,60,0.57,2,42,0,pink
12,65.0,90,181,1.53,1,198,1,purple
13,144.0,2,309,2.86,1,243,1,purple
14,65.0,185,99,0.92,1,0,0,pink
15,100.0,5,21,0.2,1,64,0,pink
16,199.0,60,188,1.88,2,365,1,purple
17,80.0,90,33,0.35,3,168,1,purple
18,80.0,60,77,0.74,3,184,1,purple
19,118.0,4,304,3.02,4,327,1,purple
20,62.0,3,213,2.13,1,0,0,pink
21,75.0,2,20,0.77,1,285,1,purple
22,35.0,1,48,0.95,2,365,1,purple
23,37.0,10,25,0.24,1,344,1,purple
24,19.0,5,8,0.16,1,0,0,pink
25,40.0,2,203,2.26,2,10,0,pink
26,90.0,84,106,0.86,10,12,0,pink
27,53.0,3,50,0.5,2,0,0,pink
28,43.0,15,70,0.56,1,0,0,pink
29,49.0,1,1,0.01,1,0,0,pink
30,37.0,2,40,0.5,2,285,1,purple
31,119.0,4,163,1.86,1,293,1,purple
32,50.0,2,20,0.32,1,211,1,purple
33,56.0,82,105,1.17,1,270,1,purple
34,169.0,5,40,0.35,1,0,0,pink
35,45.0,4,192,1.52,1,0,0,pink
36,58.0,60,15,0.18,1,255,1,purple
37,230.0,3,93,0.85,3,230,1,purple
38,150.0,5,45,0.46,2,207,1,purple
39,85.0,5,21,0.17,1,353,1,purple
40,154.0,2,11,0.1,1,293,1,purple
41,60.0,2,57,0.48,2,140,0,pink
42,111.0,3,45,0.63,1,2,0,pink
43,30.0,8,74,0.71,1,55,0,pink
44,62.0,3,304,2.47,10,355,1,purple
45,83.0,3,61,0.68,1,288,1,purple
46,49.0,2,124,1.02,1,0,0,pink
47,145.0,4,43,0.43,1,299,1,purple
48,66.0,3,314,2.7,1,182,1,purple
49,166.0,1,311,2.66,2,307,1,purple
50,79.0,3,95,1.27,2,237,1,purple
51,90.0,60,67,0.78,1,193,1,purple
52,103.0,3,134,1.31,4,306,1,purple
53,49.0,3,225,2.11,2,220,1,purple
54,130.0,4,61,0.57,4,164,1,purple
55,60.0,2,44,0.4,1,302,1,purple
56,521.0,3,112,1.03,2,0,0,pink
57,45.0,4,11,0.5,1,357,1,purple
58,40.0,70,32,0.37,1,199,1,purple
59,76.0,60,97,1.01,2,131,0,pink
60,89.0,4,86,0.81,1,315,1,purple
61,75.0,5,114,1.08,1,0,0,pink
62,131.0,3,94,0.93,1,194,1,purple
63,75.0,2,10,0.36,1,311,1,purple
64,86.0,3,0,0.72,1,363,1,purple
65,68.0,60,85,0.83,1,254,1,purple
66,99.0,2,548,4.81,6,306,1,purple
67,59.0,5,21,0.29,1,280,1,purple
68,81.0,1,263,2.49,1,112,0,pink
69,70.0,3,136,1.41,1,0,0,pink
70,54.0,3,210,1.75,1,288,1,purple
71,28.0,183,39,0.36,3,133,0,pink
72,80.0,7,17,0.67,1,349,1,purple
73,36.0,90,96,0.98,1,193,1,purple
74,30.0,2,315,2.91,1,291,1,purple
75,161.0,2,77,1.02,1,161,1,purple
76,42.0,5,51,0.43,1,59,0,pink
77,111.0,5,20,0.17,1,31,0,pink
78,49.0,2,7,0.06,1,337,1,purple
79,30.0,1,18,0.25,1,193,1,purple
80,50.0,5,7,0.06,1,362,1,purple
81,80.0,2,33,0.3,1,193,1,purple
82,42.0,1,1,0.02,1,0,0,pink
83,103.0,90,31,0.28,4,0,0,pink
84,78.0,60,56,0.6,4,315,1,purple
85,103.0,60,41,0.36,4,365,1,purple
86,78.0,60,81,0.72,4,0,0,pink
87,39.0,180,8,0.09,1,271,1,purple
88,215.0,3,53,0.81,3,290,1,purple
89,213.0,3,31,0.27,3,322,1,purple
90,21.0,1,11,0.2,1,0,0,pink
91,50.0,2,4,0.04,1,360,1,purple
92,70.0,3,1,0.01,1,0,0,pink
93,59.0,2,64,0.73,1,215,1,purple
94,76.0,2,71,0.65,1,284,1,purple
95,170.0,2,140,1.31,1,262,1,purple
96,43.0,45,25,0.31,1,68,0,pink
97,25.0,45,2,0.02,1,224,1,purple
98,55.0,4,63,2.82,1,25,0,pink
99,82.0,2,450,3.92,1,312,1,purple
100,29.0,7,16,0.14,1,204,1,purple
101,90.0,90,15,0.2,4,363,1,purple
102,33.0,62,55,0.55,1,103,0,pink
103,45.0,28,14,0.16,1,0,0,pink
104,105.0,3,88,0.78,2,280,1,purple
105,80.0,4,79,0.91,1,0,0,pink
106,52.0,2,26,0.76,2,234,1,purple
107,55.0,1,40,0.48,1,0,0,pink
108,48.0,183,30,0.41,2,0,0,pink
109,46.0,2,506,4.19,1,69,0,pink
110,75.0,3,0,0.72,1,0,0,pink
111,88.0,6,3,0.05,2,365,1,purple
112,65.0,3,47,0.52,4,315,1,purple
113,80.0,3,186,1.91,1,281,1,purple
114,52.0,4,130,1.2,2,61,0,pink
115,230.0,183,9,0.1,4,363,1,purple
116,119.0,7,55,0.65,1,336,1,purple
117,76.0,3,106,1.42,1,0,0,pink
